Time,alsoenergy,sunnyportal,,
5/23/22 0:00,0,0,0,0
5/23/22 0:01,0,0,0,426.808
5/23/22 0:03,0,0,0,17.93079102
5/23/22 0:04,0,0,0,40.00661216
5/23/22 0:05,0,0,0,
5/23/22 0:06,0,0,0,
5/23/22 0:07,0,0,0,
5/23/22 0:08,0,0,0,
5/23/22 0:09,0,0,0,
5/23/22 0:10,0,0,0,
5/23/22 0:11,0,0,0,
5/23/22 0:12,0,0,0,
5/23/22 0:13,0,0,0,
5/23/22 0:14,0,0,0,
5/23/22 0:15,0,0,0,
5/23/22 0:16,0,0,0,
5/23/22 0:17,0,0,0,
5/23/22 0:18,0,0,0,
5/23/22 0:19,0,0,0,
5/23/22 0:20,0,0,0,
5/23/22 0:22,0,0,0,
5/23/22 0:23,0,0,0,
5/23/22 0:24,0,0,0,
5/23/22 0:25,0,0,0,
5/23/22 0:26,0,0,0,
5/23/22 0:27,0,0,0,
5/23/22 0:28,0,0,0,
5/23/22 0:29,0,0,0,
5/23/22 0:30,0,0,0,
5/23/22 0:31,0,0,0,
5/23/22 0:32,0,0,0,
5/23/22 0:33,0,0,0,
5/23/22 0:34,0,0,0,
5/23/22 0:35,0,0,0,
5/23/22 0:36,0,0,0,
5/23/22 0:37,0,0,0,
5/23/22 0:38,0,0,0,
5/23/22 0:40,0,0,0,
5/23/22 0:41,0,0,0,
5/23/22 0:42,0,0,0,
5/23/22 0:43,0,0,0,
5/23/22 0:44,0,0,0,
5/23/22 0:45,0,0,0,
5/23/22 0:46,0,0,0,
5/23/22 0:47,0,0,0,
5/23/22 0:48,0,0,0,
5/23/22 0:49,0,0,0,
5/23/22 0:50,0,0,0,
5/23/22 0:51,0,0,0,
5/23/22 0:52,0,0,0,
5/23/22 0:53,0,0,0,
5/23/22 0:54,0,0,0,
5/23/22 0:55,0,0,0,
5/23/22 0:56,0,0,0,
5/23/22 0:58,0,0,0,
5/23/22 0:59,0,0,0,
5/23/22 1:00,0,0,0,
5/23/22 1:01,0,0,0,
5/23/22 1:02,0,0,0,
5/23/22 1:03,0,0,0,
5/23/22 1:04,0,0,0,
5/23/22 1:05,0,0,0,
5/23/22 1:06,0,0,0,
5/23/22 1:07,0,0,0,
5/23/22 1:08,0,0,0,
5/23/22 1:09,0,0,0,
5/23/22 1:10,0,0,0,
5/23/22 1:11,0,0,0,
5/23/22 1:12,0,0,0,
5/23/22 1:13,0,0,0,
5/23/22 1:14,0,0,0,
5/23/22 1:16,0,0,0,
5/23/22 1:17,0,0,0,
5/23/22 1:18,0,0,0,
5/23/22 1:19,0,0,0,
5/23/22 1:20,0,0,0,
5/23/22 1:21,0,0,0,
5/23/22 1:22,0,0,0,
5/23/22 1:23,0,0,0,
5/23/22 1:24,0,0,0,
5/23/22 1:25,0,0,0,
5/23/22 1:26,0,0,0,
5/23/22 1:27,0,0,0,
5/23/22 1:28,0,0,0,
5/23/22 1:29,0,0,0,
5/23/22 1:30,0,0,0,
5/23/22 1:31,0,0,0,
5/23/22 1:32,0,0,0,
5/23/22 1:33,0,0,0,
5/23/22 1:35,0,0,0,
5/23/22 1:36,0,0,0,
5/23/22 1:37,0,0,0,
5/23/22 1:38,0,0,0,
5/23/22 1:39,0,0,0,
5/23/22 1:40,0,0,0,
5/23/22 1:41,0,0,0,
5/23/22 1:42,0,0,0,
5/23/22 1:43,0,0,0,
5/23/22 1:44,0,0,0,
5/23/22 1:45,0,0,0,
5/23/22 1:46,0,0,0,
5/23/22 1:47,0,0,0,
5/23/22 1:48,0,0,0,
5/23/22 1:49,0,0,0,
5/23/22 1:50,0,0,0,
5/23/22 1:51,0,0,0,
5/23/22 1:53,0,0,0,
5/23/22 1:54,0,0,0,
5/23/22 1:55,0,0,0,
5/23/22 1:56,0,0,0,
5/23/22 1:57,0,0,0,
5/23/22 1:58,0,0,0,
5/23/22 1:59,0,0,0,
5/23/22 2:00,0,0,0,
5/23/22 2:01,0,0,0,
5/23/22 2:02,0,0,0,
5/23/22 2:03,0,0,0,
5/23/22 2:04,0,0,0,
5/23/22 2:05,0,0,0,
5/23/22 2:06,0,0,0,
5/23/22 2:07,0,0,0,
5/23/22 2:08,0,0,0,
5/23/22 2:10,0,0,0,
5/23/22 2:11,0,0,0,
5/23/22 2:12,0,0,0,
5/23/22 2:13,0,0,0,
5/23/22 2:14,0,0,0,
5/23/22 2:15,0,0,0,
5/23/22 2:16,0,0,0,
5/23/22 2:17,0,0,0,
5/23/22 2:18,0,0,0,
5/23/22 2:19,0,0,0,
5/23/22 2:20,0,0,0,
5/23/22 2:21,0,0,0,
5/23/22 2:22,0,0,0,
5/23/22 2:23,0,0,0,
5/23/22 2:24,0,0,0,
5/23/22 2:25,0,0,0,
5/23/22 2:26,0,0,0,
5/23/22 2:28,0,0,0,
5/23/22 2:29,0,0,0,
5/23/22 2:30,0,0,0,
5/23/22 2:31,0,0,0,
5/23/22 2:32,0,0,0,
5/23/22 2:33,0,0,0,
5/23/22 2:34,0,0,0,
5/23/22 2:35,0,0,0,
5/23/22 2:36,0,0,0,
5/23/22 2:37,0,0,0,
5/23/22 2:38,0,0,0,
5/23/22 2:39,0,0,0,
5/23/22 2:40,0,0,0,
5/23/22 2:41,0,0,0,
5/23/22 2:42,0,0,0,
5/23/22 2:43,0,0,0,
5/23/22 2:45,0,0,0,
5/23/22 2:46,0,0,0,
5/23/22 2:47,0,0,0,
5/23/22 2:48,0,0,0,
5/23/22 2:49,0,0,0,
5/23/22 2:50,0,0,0,
5/23/22 2:51,0,0,0,
5/23/22 2:52,0,0,0,
5/23/22 2:53,0,0,0,
5/23/22 2:54,0,0,0,
5/23/22 2:55,0,0,0,
5/23/22 2:56,0,0,0,
5/23/22 2:57,0,0,0,
5/23/22 2:58,0,0,0,
5/23/22 2:59,0,0,0,
5/23/22 3:00,0,0,0,
5/23/22 3:01,0,0,0,
5/23/22 3:03,0,0,0,
5/23/22 3:04,0,0,0,
5/23/22 3:05,0,0,0,
5/23/22 3:06,0,0,0,
5/23/22 3:07,0,0,0,
5/23/22 3:08,0,0,0,
5/23/22 3:09,0,0,0,
5/23/22 3:10,0,0,0,
5/23/22 3:11,0,0,0,
5/23/22 3:12,0,0,0,
5/23/22 3:13,0,0,0,
5/23/22 3:14,0,0,0,
5/23/22 3:15,0,0,0,
5/23/22 3:16,0,0,0,
5/23/22 3:17,0,0,0,
5/23/22 3:18,0,0,0,
5/23/22 3:19,0,0,0,
5/23/22 3:21,0,0,0,
5/23/22 3:22,0,0,0,
5/23/22 3:23,0,0,0,
5/23/22 3:24,0,0,0,
5/23/22 3:25,0,0,0,
5/23/22 3:26,0,0,0,
5/23/22 3:27,0,0,0,
5/23/22 3:28,0,0,0,
5/23/22 3:29,0,0,0,
5/23/22 3:30,0,0,0,
5/23/22 3:31,0,0,0,
5/23/22 3:32,0,0,0,
5/23/22 3:33,0,0,0,
5/23/22 3:34,0,0,0,
5/23/22 3:35,0,0,0,
5/23/22 3:36,0,0,0,
5/23/22 3:38,0,0,0,
5/23/22 3:39,0,0,0,
5/23/22 3:40,0,0,0,
5/23/22 3:41,0,0,0,
5/23/22 3:42,0,0,0,
5/23/22 3:43,0,0,0,
5/23/22 3:44,0,0,0,
5/23/22 3:45,0,0,0,
5/23/22 3:46,0,0,0,
5/23/22 3:47,0,0,0,
5/23/22 3:48,0,0,0,
5/23/22 3:49,0,0,0,
5/23/22 3:50,0,0,0,
5/23/22 3:51,0,0,0,
5/23/22 3:52,0,0,0,
5/23/22 3:53,0,0,0,
5/23/22 3:54,0,0,0,
5/23/22 3:55,0,0,0,
5/23/22 3:57,0,0,0,
5/23/22 3:58,0,0,0,
5/23/22 3:59,0,0,0,
5/23/22 4:00,0,0,0,
5/23/22 4:01,0,0,0,
5/23/22 4:02,0,0,0,
5/23/22 4:03,0,0,0,
5/23/22 4:04,0,0,0,
5/23/22 4:05,0,0,0,
5/23/22 4:06,0,0,0,
5/23/22 4:08,0,0,0,
5/23/22 4:09,0,0,0,
5/23/22 4:10,0,0,0,
5/23/22 4:11,0,0,0,
5/23/22 4:12,0,0,0,
5/23/22 4:13,0,0,0,
5/23/22 4:14,0,0,0,
5/23/22 4:15,0,0,0,
5/23/22 4:16,0,0,0,
5/23/22 4:17,0,0,0,
5/23/22 4:18,0,0,0,
5/23/22 4:19,0,0,0,
5/23/22 4:20,0,0,0,
5/23/22 4:21,0,0,0,
5/23/22 4:22,0,0,0,
5/23/22 4:23,0,0,0,
5/23/22 4:24,0,0,0,
5/23/22 4:26,0,0,0,
5/23/22 4:27,0,0,0,
5/23/22 4:28,0,0,0,
5/23/22 4:29,0,0,0,
5/23/22 4:30,0,0,0,
5/23/22 4:31,0,0,0,
5/23/22 4:32,0,0,0,
5/23/22 4:33,0,0,0,
5/23/22 4:34,0,0,0,
5/23/22 4:35,0,0,0,
5/23/22 4:36,0,0,0,
5/23/22 4:37,0,0,0,
5/23/22 4:38,0,0,0,
5/23/22 4:39,0,0,0,
5/23/22 4:40,0,0,0,
5/23/22 4:41,0,0,0,
5/23/22 4:42,0,0,0,
5/23/22 4:44,0,0,0,
5/23/22 4:45,0,0,0,
5/23/22 4:46,0,0,0,
5/23/22 4:47,0,0,0,
5/23/22 4:48,0,0,0,
5/23/22 4:49,0,0,0,
5/23/22 4:50,0,0,0,
5/23/22 4:51,0,0,0,
5/23/22 4:52,0,0,0,
5/23/22 4:53,0,0,0,
5/23/22 4:54,0,0,0,
5/23/22 4:55,0,0,0,
5/23/22 4:56,0,0,0,
5/23/22 4:57,0,0,0,
5/23/22 4:58,0,0,0,
5/23/22 4:59,0,0,0,
5/23/22 5:00,0,0,0,
5/23/22 5:02,0,0,0,
5/23/22 5:03,0,0,0,
5/23/22 5:04,0,0,0,
5/23/22 5:05,0,0,0,
5/23/22 5:06,0,0,0,
5/23/22 5:07,0,0,0,
5/23/22 5:08,0,0,0,
5/23/22 5:09,0,0,0,
5/23/22 5:10,0,0,0,
5/23/22 5:11,0,0,0,
5/23/22 5:12,0,0,0,
5/23/22 5:13,0,0,0,
5/23/22 5:14,0,0,0,
5/23/22 5:15,0,0,0,
5/23/22 5:16,0,0,0,
5/23/22 5:17,0,0,0,
5/23/22 5:19,0,0,0,
5/23/22 5:20,0,0,0,
5/23/22 5:21,0,0,0,
5/23/22 5:22,0,0,0,
5/23/22 5:23,0,0,0,
5/23/22 5:24,0,0,0,
5/23/22 5:25,0,0,0,
5/23/22 5:26,0,0,0,
5/23/22 5:27,0,0,0,
5/23/22 5:28,0,0,0,
5/23/22 5:29,0,0,0,
5/23/22 5:30,0,0,0,
5/23/22 5:31,0,0,0,
5/23/22 5:32,0,0,0,
5/23/22 5:33,0,0,0,
5/23/22 5:34,0,0,0,
5/23/22 5:36,0,0,0,
5/23/22 5:37,0,0,0,
5/23/22 5:38,0,0,0,
5/23/22 5:39,0,0,0,
5/23/22 5:40,0,0,0,
5/23/22 5:41,0,0,0,
5/23/22 5:42,0,0,0,
5/23/22 5:43,0,0,0,
5/23/22 5:44,0,0,0,
5/23/22 5:45,0,0,0,
5/23/22 5:46,0,0,0,
5/23/22 5:47,0,0,0,
5/23/22 5:48,0,0,0,
5/23/22 5:49,0,0,0,
5/23/22 5:50,0,0,0,
5/23/22 5:51,0,0,0,
5/23/22 5:52,0,0,0,
5/23/22 5:54,0,0,0,
5/23/22 5:55,0,0,0,
5/23/22 5:56,0,0,0,
5/23/22 5:57,0,0,0,
5/23/22 5:58,0,0,0,
5/23/22 5:59,0,0,0,
5/23/22 6:00,0,0,0,
5/23/22 6:01,0,0,0,
5/23/22 6:02,0,0,0,
5/23/22 6:03,0,0,0,
5/23/22 6:04,0,0,0,
5/23/22 6:05,0,0,0,
5/23/22 6:06,0,0,0,
5/23/22 6:07,0,0,0,
5/23/22 6:08,0,0,0,
5/23/22 6:09,0,0,0,
5/23/22 6:10,0.001,0,0.001,
5/23/22 6:12,0.302,0,0.302,
5/23/22 6:13,0.432,0,0.432,
5/23/22 6:14,0.604,0,0.604,
5/23/22 6:15,0.707,0,0.707,
5/23/22 6:16,0.988,0,0.988,
5/23/22 6:17,1.125,0,1.125,
5/23/22 6:18,0.988,0,0.988,
5/23/22 6:19,1.243,0,1.243,
5/23/22 6:20,1.484,1,0.484,
5/23/22 6:21,1.579,1,0.579,
5/23/22 6:22,2.046,1,1.046,
5/23/22 6:23,2.378,1,1.378,
5/23/22 6:24,2.665,1,1.665,
5/23/22 6:25,2.962,3,0.038,
5/23/22 6:26,3.451,3,0.451,
5/23/22 6:27,3.831,3,0.831,
5/23/22 6:28,4.291,3,1.291,
5/23/22 6:30,4.984,5,0.016,
5/23/22 6:31,5.398,5,0.398,
5/23/22 6:32,5.968,5,0.968,
5/23/22 6:33,6.344,5,1.344,
5/23/22 6:34,6.437,5,1.437,
5/23/22 6:35,6.717,7,0.283,
5/23/22 6:36,7.005,7,0.005,
5/23/22 6:37,7.293,7,0.293,
5/23/22 6:38,7.577,7,0.577,
5/23/22 6:39,7.894,7,0.894,
5/23/22 6:40,8.432,10,1.568,
5/23/22 6:41,8.987,10,1.013,
5/23/22 6:42,9.345,10,0.655,
5/23/22 6:43,9.84,10,0.16,
5/23/22 6:44,10.21,10,0.21,
5/23/22 6:45,10.698,13,2.302,
5/23/22 6:46,11.274,13,1.726,
5/23/22 6:47,11.85,13,1.15,
5/23/22 6:48,12.426,13,0.574,
5/23/22 6:50,13.995,18,4.005,
5/23/22 6:51,15.076,18,2.924,
5/23/22 6:52,16.412,18,1.588,
5/23/22 6:53,17.834,18,0.166,
5/23/22 6:54,19.753,18,1.753,
5/23/22 6:55,21.75,30,8.25,
5/23/22 6:56,24.639,30,5.361,
5/23/22 6:57,28.043,30,1.957,
5/23/22 6:58,31.775,30,1.775,
5/23/22 6:59,35.925,30,5.925,
5/23/22 7:00,39.441,44,4.559,
5/23/22 7:01,42.412,44,1.588,
5/23/22 7:02,45.071,44,1.071,
5/23/22 7:03,47.623,44,3.623,
5/23/22 7:04,49.792,44,5.792,
5/23/22 7:05,51.953,52,0.047,
5/23/22 7:06,54.08,52,2.08,
5/23/22 7:08,57.407,52,5.407,
5/23/22 7:09,58.671,52,6.671,
5/23/22 7:10,60.305,59,1.305,
5/23/22 7:11,62.486,59,3.486,
5/23/22 7:12,65.104,59,6.104,
5/23/22 7:13,67.876,59,8.876,
5/23/22 7:14,70.591,59,11.591,
5/23/22 7:15,73.892,74,0.108,
5/23/22 7:16,78.053,74,4.053,
5/23/22 7:17,82.704,74,8.704,
5/23/22 7:18,89.481,74,15.481,
5/23/22 7:19,93.266,74,19.266,
5/23/22 7:20,99.89,95,4.89,
5/23/22 7:21,109.111,95,14.111,
5/23/22 7:22,121.398,95,26.398,
5/23/22 7:23,131.212,95,36.212,
5/23/22 7:24,142.702,95,47.702,
5/23/22 7:26,163.911,114,49.911,
5/23/22 7:27,174.917,114,60.917,
5/23/22 7:28,164.152,114,50.152,
5/23/22 7:29,172.628,114,58.628,
5/23/22 7:30,172.548,115,57.548,
5/23/22 7:31,158.813,115,43.813,
5/23/22 7:32,153.534,115,38.534,
5/23/22 7:33,142.54,115,27.54,
5/23/22 7:34,135.922,115,20.922,
5/23/22 7:35,143.879,102,41.879,
5/23/22 7:36,137.372,102,35.372,
5/23/22 7:37,123.125,102,21.125,
5/23/22 7:38,115.994,102,13.994,
5/23/22 7:39,112.288,102,10.288,
5/23/22 7:40,110.1,94,16.1,
5/23/22 7:41,110.438,94,16.438,
5/23/22 7:42,121.742,94,27.742,
5/23/22 7:43,122.219,94,28.219,
5/23/22 7:45,105.704,84,21.704,
5/23/22 7:46,98.549,84,14.549,
5/23/22 7:47,96.02,84,12.02,
5/23/22 7:48,95.453,84,11.453,
5/23/22 7:49,97.106,84,13.106,
5/23/22 7:50,99.715,90,9.715,
5/23/22 7:51,102.949,90,12.949,
5/23/22 7:52,111.059,90,21.059,
5/23/22 7:53,132.991,90,42.991,
5/23/22 7:54,134.276,90,44.276,
5/23/22 7:55,116.786,101,15.786,
5/23/22 7:56,110.067,101,9.067,
5/23/22 7:57,111.921,101,10.921,
5/23/22 7:58,117.126,101,16.126,
5/23/22 7:59,135.741,101,34.741,
5/23/22 8:00,145.224,145,0.224,
5/23/22 8:02,161.467,145,16.467,
5/23/22 8:03,218.38,145,73.38,
5/23/22 8:04,293.621,145,148.621,
5/23/22 8:05,288.501,183,105.501,
5/23/22 8:06,274.058,183,91.058,
5/23/22 8:07,273.213,183,90.213,
5/23/22 8:08,239.57,183,56.57,
5/23/22 8:09,226.473,183,43.473,
5/23/22 8:10,290.206,214,76.206,
5/23/22 8:11,313.218,214,99.218,
5/23/22 8:12,272.4,214,58.4,
5/23/22 8:13,269.351,214,55.351,
5/23/22 8:14,297.885,214,83.885,
5/23/22 8:15,328.971,246,82.971,
5/23/22 8:16,337.243,246,91.243,
5/23/22 8:17,333.672,246,87.672,
5/23/22 8:18,327.683,246,81.683,
5/23/22 8:20,293.754,248,45.754,
5/23/22 8:21,286.215,248,38.215,
5/23/22 8:22,314.984,248,66.984,
5/23/22 8:23,338.724,248,90.724,
5/23/22 8:24,342.004,248,94.004,
5/23/22 8:25,346.505,271,75.505,
5/23/22 8:26,334.68,271,63.68,
5/23/22 8:27,339.002,271,68.002,
5/23/22 8:28,347.207,271,76.207,
5/23/22 8:29,330.02,271,59.02,
5/23/22 8:30,353.274,298,55.274,
5/23/22 8:31,360.1,298,62.1,
5/23/22 8:32,360.705,298,62.705,
5/23/22 8:33,381.855,298,83.855,
5/23/22 8:34,388.008,298,90.008,
5/23/22 8:35,385.77,278,107.77,
5/23/22 8:36,376.049,278,98.049,
5/23/22 8:38,301.96,278,23.96,
5/23/22 8:39,266.989,278,11.011,
5/23/22 8:40,273.271,291,17.729,
5/23/22 8:41,320.648,291,29.648,
5/23/22 8:42,341.429,291,50.429,
5/23/22 8:43,364.522,291,73.522,
5/23/22 8:44,392.877,291,101.877,
5/23/22 8:45,382.62,344,38.62,
5/23/22 8:46,409.044,344,65.044,
5/23/22 8:47,397.114,344,53.114,
5/23/22 8:48,414.459,344,70.459,
5/23/22 8:49,370.774,344,26.774,
5/23/22 8:50,379.005,337,42.005,
5/23/22 8:51,418.421,337,81.421,
5/23/22 8:52,428.836,337,91.836,
5/23/22 8:53,387.327,337,50.327,
5/23/22 8:55,316.413,266,50.413,
5/23/22 8:56,297.259,266,31.259,
5/23/22 8:57,270.74,266,4.74,
5/23/22 8:58,250.686,266,15.314,
5/23/22 8:59,312.148,266,46.148,
5/23/22 9:00,446.141,398,48.141,
5/23/22 9:01,452.001,398,54.001,
5/23/22 9:02,452.626,398,54.626,
5/23/22 9:03,446.235,398,48.235,
5/23/22 9:04,463.049,398,65.049,
5/23/22 9:05,403.202,376,27.202,
5/23/22 9:06,385.622,376,9.622,
